question=['chicago' 'illinois' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['reno' 'nevada' 'fresno' 'california'], predicted=california
question=['reno' 'nevada' 'sacramento' 'california'], predicted=california
question=['reno' 'nevada' 'atlanta' 'georgia'], predicted=georgia
question=['scottsdale' 'arizona' 'fremont' 'california'], predicted=california
question=['scottsdale' 'arizona' 'irvine' 'california'], predicted=california
question=['scottsdale' 'arizona' 'modesto' 'california'], predicted=california
question=['scottsdale' 'arizona' 'shreveport' 'louisiana'], predicted=louisiana
question=['scottsdale' 'arizona' 'akron' 'ohio'], predicted=ohio
question=['scottsdale' 'arizona' 'glendale' 'california'], predicted=california
question=['scottsdale' 'arizona' 'tallahassee' 'florida'], predicted=florida
question=['scottsdale' 'arizona' 'huntsville' 'alabama'], predicted=alabama
question=['scottsdale' 'arizona' 'chicago' 'illinois'], predicted=illinois
question=['scottsdale' 'arizona' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['scottsdale' 'arizona' 'dallas' 'texas'], predicted=texas
question=['scottsdale' 'arizona' 'jacksonville' 'florida'], predicted=florida
question=['scottsdale' 'arizona' 'memphis' 'tennessee'], predicted=tennessee
question=['scottsdale' 'arizona' 'denver' 'colorado'], predicted=colorado
question=['scottsdale' 'arizona' 'nashville' 'tennessee'], predicted=tennessee
question=['scottsdale' 'arizona' 'louisville' 'kentucky'], predicted=kentucky
question=['scottsdale' 'arizona' 'fresno' 'california'], predicted=california
question=['scottsdale' 'arizona' 'sacramento' 'california'], predicted=california
question=['scottsdale' 'arizona' 'omaha' 'nebraska'], predicted=nebraska
question=['irving' 'texas' 'fremont' 'california'], predicted=california
question=['irving' 'texas' 'irvine' 'california'], predicted=california
question=['irving' 'texas' 'modesto' 'california'], predicted=california
question=['irving' 'texas' 'shreveport' 'louisiana'], predicted=louisiana
question=['irving' 'texas' 'glendale' 'california'], predicted=california
question=['irving' 'texas' 'tallahassee' 'florida'], predicted=florida
question=['irving' 'texas' 'huntsville' 'alabama'], predicted=alabama
question=['irving' 'texas' 'chicago' 'illinois'], predicted=illinois
question=['irving' 'texas' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['irving' 'texas' 'phoenix' 'arizona'], predicted=arizona
question=['irving' 'texas' 'jacksonville' 'florida'], predicted=florida
question=['irving' 'texas' 'detroit' 'michigan'], predicted=michigan
question=['irving' 'texas' 'denver' 'colorado'], predicted=colorado
question=['irving' 'texas' 'baltimore' 'maryland'], predicted=maryland
question=['irving' 'texas' 'nashville' 'tennessee'], predicted=tennessee
question=['irving' 'texas' 'louisville' 'kentucky'], predicted=kentucky
question=['irving' 'texas' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['irving' 'texas' 'portland' 'oregon'], predicted=oregon
question=['irving' 'texas' 'tucson' 'arizona'], predicted=arizona
question=['irving' 'texas' 'fresno' 'california'], predicted=california
question=['irving' 'texas' 'sacramento' 'california'], predicted=california
question=['irving' 'texas' 'miami' 'florida'], predicted=florida
question=['fremont' 'california' 'akron' 'ohio'], predicted=ohio
question=['fremont' 'california' 'amarillo' 'texas'], predicted=texas
question=['fremont' 'california' 'tallahassee' 'florida'], predicted=florida
question=['fremont' 'california' 'huntsville' 'alabama'], predicted=alabama
question=['fremont' 'california' 'chicago' 'illinois'], predicted=illinois
question=['fremont' 'california' 'houston' 'texas'], predicted=texas
question=['fremont' 'california' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['fremont' 'california' 'phoenix' 'arizona'], predicted=arizona
question=['fremont' 'california' 'dallas' 'texas'], predicted=texas
question=['fremont' 'california' 'jacksonville' 'florida'], predicted=florida
question=['fremont' 'california' 'austin' 'texas'], predicted=texas
question=['fremont' 'california' 'memphis' 'tennessee'], predicted=tennessee
question=['fremont' 'california' 'denver' 'colorado'], predicted=colorado
question=['fremont' 'california' 'nashville' 'tennessee'], predicted=tennessee
question=['fremont' 'california' 'portland' 'oregon'], predicted=oregon
question=['fremont' 'california' 'tucson' 'arizona'], predicted=arizona
question=['fremont' 'california' 'miami' 'florida'], predicted=florida
question=['fremont' 'california' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['irvine' 'california' 'amarillo' 'texas'], predicted=texas
question=['irvine' 'california' 'tallahassee' 'florida'], predicted=florida
question=['irvine' 'california' 'worcester' 'massachusetts'], predicted=massachusetts
question=['irvine' 'california' 'chicago' 'illinois'], predicted=illinois
question=['irvine' 'california' 'houston' 'texas'], predicted=texas
question=['irvine' 'california' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['irvine' 'california' 'phoenix' 'arizona'], predicted=arizona
question=['irvine' 'california' 'dallas' 'texas'], predicted=texas
question=['irvine' 'california' 'jacksonville' 'florida'], predicted=florida
question=['irvine' 'california' 'austin' 'texas'], predicted=texas
question=['irvine' 'california' 'detroit' 'michigan'], predicted=michigan
question=['irvine' 'california' 'denver' 'colorado'], predicted=colorado
question=['irvine' 'california' 'baltimore' 'maryland'], predicted=maryland
question=['irvine' 'california' 'nashville' 'tennessee'], predicted=tennessee
question=['irvine' 'california' 'portland' 'oregon'], predicted=oregon
question=['irvine' 'california' 'omaha' 'nebraska'], predicted=nebraska
question=['irvine' 'california' 'miami' 'florida'], predicted=florida
question=['irvine' 'california' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['spokane' 'washington' 'akron' 'ohio'], predicted=ohio
question=['spokane' 'washington' 'glendale' 'california'], predicted=california
question=['spokane' 'washington' 'huntsville' 'alabama'], predicted=alabama
question=['spokane' 'washington' 'chicago' 'illinois'], predicted=illinois
question=['spokane' 'washington' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['spokane' 'washington' 'dallas' 'texas'], predicted=texas
question=['spokane' 'washington' 'memphis' 'tennessee'], predicted=tennessee
question=['spokane' 'washington' 'boston' 'massachusetts'], predicted=massachusetts
question=['spokane' 'washington' 'baltimore' 'maryland'], predicted=maryland
question=['spokane' 'washington' 'nashville' 'tennessee'], predicted=tennessee
question=['spokane' 'washington' 'louisville' 'kentucky'], predicted=kentucky
question=['spokane' 'washington' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['spokane' 'washington' 'atlanta' 'georgia'], predicted=georgia
question=['spokane' 'washington' 'omaha' 'nebraska'], predicted=nebraska
question=['spokane' 'washington' 'cleveland' 'ohio'], predicted=ohio
question=['modesto' 'california' 'shreveport' 'louisiana'], predicted=louisiana
question=['modesto' 'california' 'tallahassee' 'florida'], predicted=florida
question=['modesto' 'california' 'chicago' 'illinois'], predicted=illinois
question=['modesto' 'california' 'phoenix' 'arizona'], predicted=arizona
question=['modesto' 'california' 'memphis' 'tennessee'], predicted=tennessee
question=['modesto' 'california' 'nashville' 'tennessee'], predicted=tennessee
question=['modesto' 'california' 'minneapolis' 'minnesota'], predicted=minnesota
question=['shreveport' 'louisiana' 'glendale' 'california'], predicted=california
question=['shreveport' 'louisiana' 'tallahassee' 'florida'], predicted=florida
question=['shreveport' 'louisiana' 'chicago' 'illinois'], predicted=illinois
question=['shreveport' 'louisiana' 'houston' 'texas'], predicted=texas
question=['shreveport' 'louisiana' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['shreveport' 'louisiana' 'phoenix' 'arizona'], predicted=arizona
question=['shreveport' 'louisiana' 'dallas' 'texas'], predicted=texas
question=['shreveport' 'louisiana' 'jacksonville' 'florida'], predicted=florida
question=['shreveport' 'louisiana' 'indianapolis' 'indiana'], predicted=indiana
question=['shreveport' 'louisiana' 'austin' 'texas'], predicted=texas
question=['shreveport' 'louisiana' 'detroit' 'michigan'], predicted=michigan
question=['shreveport' 'louisiana' 'memphis' 'tennessee'], predicted=tennessee
question=['shreveport' 'louisiana' 'boston' 'massachusetts'], predicted=massachusetts
question=['shreveport' 'louisiana' 'denver' 'colorado'], predicted=colorado
question=['shreveport' 'louisiana' 'baltimore' 'maryland'], predicted=maryland
question=['shreveport' 'louisiana' 'nashville' 'tennessee'], predicted=tennessee
question=['shreveport' 'louisiana' 'louisville' 'kentucky'], predicted=kentucky
question=['shreveport' 'louisiana' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['shreveport' 'louisiana' 'portland' 'oregon'], predicted=oregon
question=['shreveport' 'louisiana' 'tucson' 'arizona'], predicted=arizona
question=['shreveport' 'louisiana' 'fresno' 'california'], predicted=california
question=['shreveport' 'louisiana' 'sacramento' 'california'], predicted=california
question=['shreveport' 'louisiana' 'atlanta' 'georgia'], predicted=georgia
question=['shreveport' 'louisiana' 'omaha' 'nebraska'], predicted=nebraska
question=['shreveport' 'louisiana' 'miami' 'florida'], predicted=florida
question=['shreveport' 'louisiana' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['shreveport' 'louisiana' 'oakland' 'california'], predicted=california
question=['shreveport' 'louisiana' 'cleveland' 'ohio'], predicted=ohio
question=['shreveport' 'louisiana' 'minneapolis' 'minnesota'], predicted=minnesota
question=['tacoma' 'washington' 'tallahassee' 'florida'], predicted=florida
question=['tacoma' 'washington' 'huntsville' 'alabama'], predicted=alabama
question=['tacoma' 'washington' 'worcester' 'massachusetts'], predicted=massachusetts
question=['tacoma' 'washington' 'chicago' 'illinois'], predicted=illinois
question=['tacoma' 'washington' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['tacoma' 'washington' 'memphis' 'tennessee'], predicted=tennessee
question=['tacoma' 'washington' 'boston' 'massachusetts'], predicted=massachusetts
question=['tacoma' 'washington' 'denver' 'colorado'], predicted=colorado
question=['tacoma' 'washington' 'baltimore' 'maryland'], predicted=maryland
question=['tacoma' 'washington' 'nashville' 'tennessee'], predicted=tennessee
question=['tacoma' 'washington' 'louisville' 'kentucky'], predicted=kentucky
question=['tacoma' 'washington' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['tacoma' 'washington' 'portland' 'oregon'], predicted=oregon
question=['tacoma' 'washington' 'fresno' 'california'], predicted=california
question=['tacoma' 'washington' 'sacramento' 'california'], predicted=california
question=['tacoma' 'washington' 'atlanta' 'georgia'], predicted=georgia
question=['tacoma' 'washington' 'omaha' 'nebraska'], predicted=nebraska
question=['tacoma' 'washington' 'miami' 'florida'], predicted=florida
question=['tacoma' 'washington' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['tacoma' 'washington' 'oakland' 'california'], predicted=california
question=['tacoma' 'washington' 'cleveland' 'ohio'], predicted=ohio
question=['tacoma' 'washington' 'minneapolis' 'minnesota'], predicted=minnesota
question=['tacoma' 'washington' 'wichita' 'kansas'], predicted=kansas
question=['fontana' 'california' 'tallahassee' 'florida'], predicted=florida
question=['fontana' 'california' 'huntsville' 'alabama'], predicted=alabama
question=['fontana' 'california' 'chicago' 'illinois'], predicted=illinois
question=['fontana' 'california' 'phoenix' 'arizona'], predicted=arizona
question=['fontana' 'california' 'detroit' 'michigan'], predicted=michigan
question=['fontana' 'california' 'memphis' 'tennessee'], predicted=tennessee
question=['fontana' 'california' 'nashville' 'tennessee'], predicted=tennessee
question=['fontana' 'california' 'portland' 'oregon'], predicted=oregon
question=['fontana' 'california' 'cleveland' 'ohio'], predicted=ohio
question=['akron' 'ohio' 'chicago' 'illinois'], predicted=illinois
question=['akron' 'ohio' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['akron' 'ohio' 'phoenix' 'arizona'], predicted=arizona
question=['akron' 'ohio' 'detroit' 'michigan'], predicted=michigan
question=['akron' 'ohio' 'memphis' 'tennessee'], predicted=tennessee
question=['akron' 'ohio' 'denver' 'colorado'], predicted=colorado
question=['akron' 'ohio' 'baltimore' 'maryland'], predicted=maryland
question=['akron' 'ohio' 'nashville' 'tennessee'], predicted=tennessee
question=['akron' 'ohio' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['akron' 'ohio' 'portland' 'oregon'], predicted=oregon
question=['akron' 'ohio' 'tucson' 'arizona'], predicted=arizona
question=['akron' 'ohio' 'fresno' 'california'], predicted=california
question=['akron' 'ohio' 'omaha' 'nebraska'], predicted=nebraska
question=['akron' 'ohio' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['akron' 'ohio' 'minneapolis' 'minnesota'], predicted=minnesota
question=['akron' 'ohio' 'wichita' 'kansas'], predicted=kansas
question=['amarillo' 'texas' 'glendale' 'california'], predicted=california
question=['amarillo' 'texas' 'tallahassee' 'florida'], predicted=florida
question=['amarillo' 'texas' 'worcester' 'massachusetts'], predicted=massachusetts
question=['amarillo' 'texas' 'chicago' 'illinois'], predicted=illinois
question=['amarillo' 'texas' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['amarillo' 'texas' 'phoenix' 'arizona'], predicted=arizona
question=['amarillo' 'texas' 'jacksonville' 'florida'], predicted=florida
question=['amarillo' 'texas' 'detroit' 'michigan'], predicted=michigan
question=['amarillo' 'texas' 'memphis' 'tennessee'], predicted=tennessee
question=['amarillo' 'texas' 'boston' 'massachusetts'], predicted=massachusetts
question=['amarillo' 'texas' 'seattle' 'washington'], predicted=washington
question=['amarillo' 'texas' 'denver' 'colorado'], predicted=colorado
question=['amarillo' 'texas' 'nashville' 'tennessee'], predicted=tennessee
question=['amarillo' 'texas' 'louisville' 'kentucky'], predicted=kentucky
question=['amarillo' 'texas' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['amarillo' 'texas' 'portland' 'oregon'], predicted=oregon
question=['amarillo' 'texas' 'tucson' 'arizona'], predicted=arizona
question=['amarillo' 'texas' 'fresno' 'california'], predicted=california
question=['amarillo' 'texas' 'sacramento' 'california'], predicted=california
question=['amarillo' 'texas' 'miami' 'florida'], predicted=florida
question=['amarillo' 'texas' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['amarillo' 'texas' 'oakland' 'california'], predicted=california
question=['amarillo' 'texas' 'cleveland' 'ohio'], predicted=ohio
question=['amarillo' 'texas' 'minneapolis' 'minnesota'], predicted=minnesota
question=['amarillo' 'texas' 'wichita' 'kansas'], predicted=kansas
question=['amarillo' 'texas' 'bakersfield' 'california'], predicted=california
question=['amarillo' 'texas' 'tampa' 'florida'], predicted=florida
question=['amarillo' 'texas' 'anaheim' 'california'], predicted=california
question=['glendale' 'california' 'tallahassee' 'florida'], predicted=florida
question=['glendale' 'california' 'huntsville' 'alabama'], predicted=alabama
question=['glendale' 'california' 'worcester' 'massachusetts'], predicted=massachusetts
question=['glendale' 'california' 'chicago' 'illinois'], predicted=illinois
question=['glendale' 'california' 'houston' 'texas'], predicted=texas
question=['glendale' 'california' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['glendale' 'california' 'phoenix' 'arizona'], predicted=arizona
question=['glendale' 'california' 'dallas' 'texas'], predicted=texas
question=['glendale' 'california' 'jacksonville' 'florida'], predicted=florida
question=['glendale' 'california' 'austin' 'texas'], predicted=texas
question=['glendale' 'california' 'detroit' 'michigan'], predicted=michigan
question=['glendale' 'california' 'memphis' 'tennessee'], predicted=tennessee
question=['glendale' 'california' 'boston' 'massachusetts'], predicted=massachusetts
question=['glendale' 'california' 'seattle' 'washington'], predicted=washington
question=['glendale' 'california' 'denver' 'colorado'], predicted=colorado
question=['glendale' 'california' 'baltimore' 'maryland'], predicted=maryland
question=['glendale' 'california' 'nashville' 'tennessee'], predicted=tennessee
question=['glendale' 'california' 'louisville' 'kentucky'], predicted=kentucky
question=['glendale' 'california' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['glendale' 'california' 'portland' 'oregon'], predicted=oregon
question=['glendale' 'california' 'atlanta' 'georgia'], predicted=georgia
question=['glendale' 'california' 'omaha' 'nebraska'], predicted=nebraska
question=['glendale' 'california' 'miami' 'florida'], predicted=florida
question=['glendale' 'california' 'cleveland' 'ohio'], predicted=ohio
question=['glendale' 'california' 'minneapolis' 'minnesota'], predicted=minnesota
question=['glendale' 'california' 'tampa' 'florida'], predicted=florida
question=['glendale' 'california' 'honolulu' 'hawaii'], predicted=hawaii
question=['tallahassee' 'florida' 'huntsville' 'alabama'], predicted=alabama
question=['tallahassee' 'florida' 'chicago' 'illinois'], predicted=illinois
question=['tallahassee' 'florida' 'houston' 'texas'], predicted=texas
question=['tallahassee' 'florida' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['tallahassee' 'florida' 'phoenix' 'arizona'], predicted=arizona
question=['tallahassee' 'florida' 'dallas' 'texas'], predicted=texas
question=['tallahassee' 'florida' 'austin' 'texas'], predicted=texas
question=['tallahassee' 'florida' 'detroit' 'michigan'], predicted=michigan
question=['tallahassee' 'florida' 'memphis' 'tennessee'], predicted=tennessee
question=['tallahassee' 'florida' 'boston' 'massachusetts'], predicted=massachusetts
question=['tallahassee' 'florida' 'seattle' 'washington'], predicted=washington
question=['tallahassee' 'florida' 'denver' 'colorado'], predicted=colorado
question=['tallahassee' 'florida' 'baltimore' 'maryland'], predicted=maryland
question=['tallahassee' 'florida' 'nashville' 'tennessee'], predicted=tennessee
question=['tallahassee' 'florida' 'louisville' 'kentucky'], predicted=kentucky
question=['tallahassee' 'florida' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['tallahassee' 'florida' 'portland' 'oregon'], predicted=oregon
question=['tallahassee' 'florida' 'fresno' 'california'], predicted=california
question=['tallahassee' 'florida' 'sacramento' 'california'], predicted=california
question=['tallahassee' 'florida' 'atlanta' 'georgia'], predicted=georgia
question=['tallahassee' 'florida' 'omaha' 'nebraska'], predicted=nebraska
question=['tallahassee' 'florida' 'oakland' 'california'], predicted=california
question=['tallahassee' 'florida' 'cleveland' 'ohio'], predicted=ohio
question=['tallahassee' 'florida' 'minneapolis' 'minnesota'], predicted=minnesota
question=['tallahassee' 'florida' 'bakersfield' 'california'], predicted=california
question=['tallahassee' 'florida' 'anaheim' 'california'], predicted=california
question=['tallahassee' 'florida' 'honolulu' 'hawaii'], predicted=hawaii
question=['tallahassee' 'florida' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['huntsville' 'alabama' 'chicago' 'illinois'], predicted=illinois
question=['huntsville' 'alabama' 'houston' 'texas'], predicted=texas
question=['huntsville' 'alabama' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['huntsville' 'alabama' 'phoenix' 'arizona'], predicted=arizona
question=['huntsville' 'alabama' 'dallas' 'texas'], predicted=texas
question=['huntsville' 'alabama' 'memphis' 'tennessee'], predicted=tennessee
question=['huntsville' 'alabama' 'boston' 'massachusetts'], predicted=massachusetts
question=['huntsville' 'alabama' 'denver' 'colorado'], predicted=colorado
question=['huntsville' 'alabama' 'baltimore' 'maryland'], predicted=maryland
question=['huntsville' 'alabama' 'nashville' 'tennessee'], predicted=tennessee
question=['huntsville' 'alabama' 'louisville' 'kentucky'], predicted=kentucky
question=['huntsville' 'alabama' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['huntsville' 'alabama' 'atlanta' 'georgia'], predicted=georgia
question=['huntsville' 'alabama' 'omaha' 'nebraska'], predicted=nebraska
question=['huntsville' 'alabama' 'cleveland' 'ohio'], predicted=ohio
question=['huntsville' 'alabama' 'minneapolis' 'minnesota'], predicted=minnesota
question=['huntsville' 'alabama' 'honolulu' 'hawaii'], predicted=hawaii
question=['huntsville' 'alabama' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['worcester' 'massachusetts' 'jacksonville' 'florida'], predicted=florida
question=['worcester' 'massachusetts' 'memphis' 'tennessee'], predicted=tennessee
question=['worcester' 'massachusetts' 'denver' 'colorado'], predicted=colorado
question=['worcester' 'massachusetts' 'nashville' 'tennessee'], predicted=tennessee
question=['worcester' 'massachusetts' 'fresno' 'california'], predicted=california
question=['worcester' 'massachusetts' 'minneapolis' 'minnesota'], predicted=minnesota
question=['worcester' 'massachusetts' 'bakersfield' 'california'], predicted=california
