question=['albania' 'albanian' 'australia' 'australian'], predicted=australian
question=['norway' 'norwegian' 'israel' 'israeli'], predicted=israeli
question=['norway' 'norwegian' 'italy' 'italian'], predicted=italian
question=['norway' 'norwegian' 'japan' 'japanese'], predicted=japanese
question=['norway' 'norwegian' 'korea' 'korean'], predicted=korean
question=['norway' 'norwegian' 'malta' 'maltese'], predicted=maltese
question=['norway' 'norwegian' 'mexico' 'mexican'], predicted=mexican
question=['peru' 'peruvian' 'poland' 'polish'], predicted=polish
question=['peru' 'peruvian' 'portugal' 'portuguese'], predicted=portuguese
question=['peru' 'peruvian' 'russia' 'russian'], predicted=russian
question=['peru' 'peruvian' 'spain' 'spanish'], predicted=spanish
question=['peru' 'peruvian' 'sweden' 'swedish'], predicted=swedish
question=['peru' 'peruvian' 'switzerland' 'swiss'], predicted=swiss
question=['peru' 'peruvian' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['peru' 'peruvian' 'albania' 'albanian'], predicted=albanian
question=['peru' 'peruvian' 'australia' 'australian'], predicted=australian
question=['peru' 'peruvian' 'austria' 'austrian'], predicted=austrian
question=['peru' 'peruvian' 'brazil' 'brazilian'], predicted=brazilian
question=['peru' 'peruvian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['peru' 'peruvian' 'china' 'chinese'], predicted=chinese
question=['peru' 'peruvian' 'colombia' 'colombian'], predicted=colombian
question=['peru' 'peruvian' 'croatia' 'croatian'], predicted=croatian
question=['peru' 'peruvian' 'denmark' 'danish'], predicted=danish
question=['peru' 'peruvian' 'egypt' 'egyptian'], predicted=egyptian
question=['peru' 'peruvian' 'france' 'french'], predicted=french
question=['peru' 'peruvian' 'germany' 'german'], predicted=german
question=['peru' 'peruvian' 'india' 'indian'], predicted=indian
question=['peru' 'peruvian' 'ireland' 'irish'], predicted=irish
question=['peru' 'peruvian' 'israel' 'israeli'], predicted=israeli
question=['peru' 'peruvian' 'italy' 'italian'], predicted=italian
question=['peru' 'peruvian' 'japan' 'japanese'], predicted=japanese
question=['peru' 'peruvian' 'korea' 'korean'], predicted=korean
question=['peru' 'peruvian' 'macedonia' 'macedonian'], predicted=macedonian
question=['peru' 'peruvian' 'malta' 'maltese'], predicted=maltese
question=['peru' 'peruvian' 'mexico' 'mexican'], predicted=mexican
question=['peru' 'peruvian' 'netherlands' 'dutch'], predicted=dutch
question=['poland' 'polish' 'portugal' 'portuguese'], predicted=portuguese
question=['poland' 'polish' 'russia' 'russian'], predicted=russian
question=['poland' 'polish' 'spain' 'spanish'], predicted=spanish
question=['poland' 'polish' 'sweden' 'swedish'], predicted=swedish
question=['poland' 'polish' 'switzerland' 'swiss'], predicted=swiss
question=['poland' 'polish' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['poland' 'polish' 'albania' 'albanian'], predicted=albanian
question=['poland' 'polish' 'australia' 'australian'], predicted=australian
question=['poland' 'polish' 'austria' 'austrian'], predicted=austrian
question=['poland' 'polish' 'brazil' 'brazilian'], predicted=brazilian
question=['poland' 'polish' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['poland' 'polish' 'chile' 'chilean'], predicted=chilean
question=['poland' 'polish' 'china' 'chinese'], predicted=chinese
question=['poland' 'polish' 'croatia' 'croatian'], predicted=croatian
question=['poland' 'polish' 'denmark' 'danish'], predicted=danish
question=['poland' 'polish' 'egypt' 'egyptian'], predicted=egyptian
question=['poland' 'polish' 'england' 'english'], predicted=english
question=['poland' 'polish' 'france' 'french'], predicted=french
question=['poland' 'polish' 'germany' 'german'], predicted=german
question=['poland' 'polish' 'greece' 'greek'], predicted=greek
question=['poland' 'polish' 'iceland' 'icelandic'], predicted=icelandic
question=['poland' 'polish' 'india' 'indian'], predicted=indian
question=['poland' 'polish' 'ireland' 'irish'], predicted=irish
question=['poland' 'polish' 'israel' 'israeli'], predicted=israeli
question=['poland' 'polish' 'italy' 'italian'], predicted=italian
question=['poland' 'polish' 'japan' 'japanese'], predicted=japanese
question=['poland' 'polish' 'korea' 'korean'], predicted=korean
question=['poland' 'polish' 'malta' 'maltese'], predicted=maltese
question=['poland' 'polish' 'mexico' 'mexican'], predicted=mexican
question=['poland' 'polish' 'netherlands' 'dutch'], predicted=dutch
question=['poland' 'polish' 'norway' 'norwegian'], predicted=norwegian
question=['portugal' 'portuguese' 'russia' 'russian'], predicted=russian
question=['portugal' 'portuguese' 'spain' 'spanish'], predicted=spanish
question=['portugal' 'portuguese' 'sweden' 'swedish'], predicted=swedish
question=['portugal' 'portuguese' 'switzerland' 'swiss'], predicted=swiss
question=['portugal' 'portuguese' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['portugal' 'portuguese' 'albania' 'albanian'], predicted=albanian
question=['portugal' 'portuguese' 'australia' 'australian'], predicted=australian
question=['portugal' 'portuguese' 'austria' 'austrian'], predicted=austrian
question=['portugal' 'portuguese' 'brazil' 'brazilian'], predicted=brazilian
question=['portugal' 'portuguese' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['portugal' 'portuguese' 'chile' 'chilean'], predicted=chilean
question=['portugal' 'portuguese' 'china' 'chinese'], predicted=chinese
question=['portugal' 'portuguese' 'croatia' 'croatian'], predicted=croatian
question=['portugal' 'portuguese' 'denmark' 'danish'], predicted=danish
question=['portugal' 'portuguese' 'egypt' 'egyptian'], predicted=egyptian
question=['portugal' 'portuguese' 'england' 'english'], predicted=english
question=['portugal' 'portuguese' 'france' 'french'], predicted=french
question=['portugal' 'portuguese' 'germany' 'german'], predicted=german
question=['portugal' 'portuguese' 'greece' 'greek'], predicted=greek
question=['portugal' 'portuguese' 'iceland' 'icelandic'], predicted=icelandic
question=['portugal' 'portuguese' 'india' 'indian'], predicted=indian
question=['portugal' 'portuguese' 'ireland' 'irish'], predicted=irish
question=['portugal' 'portuguese' 'israel' 'israeli'], predicted=israeli
question=['portugal' 'portuguese' 'italy' 'italian'], predicted=italian
question=['portugal' 'portuguese' 'japan' 'japanese'], predicted=japanese
question=['portugal' 'portuguese' 'korea' 'korean'], predicted=korean
question=['portugal' 'portuguese' 'macedonia' 'macedonian'], predicted=macedonian
question=['portugal' 'portuguese' 'malta' 'maltese'], predicted=maltese
question=['portugal' 'portuguese' 'mexico' 'mexican'], predicted=mexican
question=['portugal' 'portuguese' 'netherlands' 'dutch'], predicted=dutch
question=['portugal' 'portuguese' 'norway' 'norwegian'], predicted=norwegian
question=['portugal' 'portuguese' 'peru' 'peruvian'], predicted=peruvian
question=['russia' 'russian' 'spain' 'spanish'], predicted=spanish
question=['russia' 'russian' 'sweden' 'swedish'], predicted=swedish
question=['russia' 'russian' 'switzerland' 'swiss'], predicted=swiss
question=['russia' 'russian' 'thailand' 'thai'], predicted=thai
question=['russia' 'russian' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['russia' 'russian' 'albania' 'albanian'], predicted=albanian
question=['russia' 'russian' 'australia' 'australian'], predicted=australian
question=['russia' 'russian' 'austria' 'austrian'], predicted=austrian
question=['russia' 'russian' 'brazil' 'brazilian'], predicted=brazilian
question=['russia' 'russian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['russia' 'russian' 'china' 'chinese'], predicted=chinese
question=['russia' 'russian' 'colombia' 'colombian'], predicted=colombian
question=['russia' 'russian' 'croatia' 'croatian'], predicted=croatian
question=['russia' 'russian' 'denmark' 'danish'], predicted=danish
question=['russia' 'russian' 'egypt' 'egyptian'], predicted=egyptian
question=['russia' 'russian' 'england' 'english'], predicted=english
question=['russia' 'russian' 'france' 'french'], predicted=french
question=['russia' 'russian' 'germany' 'german'], predicted=german
question=['russia' 'russian' 'greece' 'greek'], predicted=greek
question=['russia' 'russian' 'iceland' 'icelandic'], predicted=icelandic
question=['russia' 'russian' 'india' 'indian'], predicted=indian
question=['russia' 'russian' 'ireland' 'irish'], predicted=irish
question=['russia' 'russian' 'israel' 'israeli'], predicted=israeli
question=['russia' 'russian' 'italy' 'italian'], predicted=italian
question=['russia' 'russian' 'japan' 'japanese'], predicted=japanese
question=['russia' 'russian' 'korea' 'korean'], predicted=korean
question=['russia' 'russian' 'macedonia' 'macedonian'], predicted=macedonian
question=['russia' 'russian' 'malta' 'maltese'], predicted=maltese
question=['russia' 'russian' 'mexico' 'mexican'], predicted=mexican
question=['russia' 'russian' 'netherlands' 'dutch'], predicted=dutch
question=['russia' 'russian' 'norway' 'norwegian'], predicted=norwegian
question=['russia' 'russian' 'peru' 'peruvian'], predicted=peruvian
question=['russia' 'russian' 'poland' 'polish'], predicted=polish
question=['slovakia' 'slovakian' 'spain' 'spanish'], predicted=spanish
question=['slovakia' 'slovakian' 'sweden' 'swedish'], predicted=swedish
question=['slovakia' 'slovakian' 'switzerland' 'swiss'], predicted=swiss
question=['slovakia' 'slovakian' 'thailand' 'thai'], predicted=thai
question=['slovakia' 'slovakian' 'albania' 'albanian'], predicted=albanian
question=['slovakia' 'slovakian' 'australia' 'australian'], predicted=australian
question=['slovakia' 'slovakian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['slovakia' 'slovakian' 'chile' 'chilean'], predicted=chilean
question=['slovakia' 'slovakian' 'china' 'chinese'], predicted=chinese
question=['slovakia' 'slovakian' 'croatia' 'croatian'], predicted=croatian
question=['slovakia' 'slovakian' 'denmark' 'danish'], predicted=danish
question=['slovakia' 'slovakian' 'egypt' 'egyptian'], predicted=egyptian
question=['slovakia' 'slovakian' 'france' 'french'], predicted=french
question=['slovakia' 'slovakian' 'germany' 'german'], predicted=german
question=['slovakia' 'slovakian' 'greece' 'greek'], predicted=greek
question=['slovakia' 'slovakian' 'iceland' 'icelandic'], predicted=icelandic
question=['slovakia' 'slovakian' 'india' 'indian'], predicted=indian
question=['slovakia' 'slovakian' 'ireland' 'irish'], predicted=irish
question=['slovakia' 'slovakian' 'israel' 'israeli'], predicted=israeli
question=['slovakia' 'slovakian' 'italy' 'italian'], predicted=italian
question=['slovakia' 'slovakian' 'japan' 'japanese'], predicted=japanese
question=['slovakia' 'slovakian' 'korea' 'korean'], predicted=korean
question=['slovakia' 'slovakian' 'macedonia' 'macedonian'], predicted=macedonian
question=['slovakia' 'slovakian' 'mexico' 'mexican'], predicted=mexican
question=['slovakia' 'slovakian' 'netherlands' 'dutch'], predicted=dutch
question=['slovakia' 'slovakian' 'norway' 'norwegian'], predicted=norwegian
question=['slovakia' 'slovakian' 'peru' 'peruvian'], predicted=peruvian
question=['slovakia' 'slovakian' 'poland' 'polish'], predicted=polish
question=['slovakia' 'slovakian' 'portugal' 'portuguese'], predicted=portuguese
question=['spain' 'spanish' 'sweden' 'swedish'], predicted=swedish
question=['spain' 'spanish' 'switzerland' 'swiss'], predicted=swiss
question=['spain' 'spanish' 'albania' 'albanian'], predicted=albanian
question=['spain' 'spanish' 'australia' 'australian'], predicted=australian
question=['spain' 'spanish' 'austria' 'austrian'], predicted=austrian
question=['spain' 'spanish' 'brazil' 'brazilian'], predicted=brazilian
question=['spain' 'spanish' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['spain' 'spanish' 'chile' 'chilean'], predicted=chilean
question=['spain' 'spanish' 'china' 'chinese'], predicted=chinese
question=['spain' 'spanish' 'colombia' 'colombian'], predicted=colombian
question=['spain' 'spanish' 'croatia' 'croatian'], predicted=croatian
question=['spain' 'spanish' 'denmark' 'danish'], predicted=danish
question=['spain' 'spanish' 'egypt' 'egyptian'], predicted=egyptian
question=['spain' 'spanish' 'england' 'english'], predicted=english
question=['spain' 'spanish' 'france' 'french'], predicted=french
question=['spain' 'spanish' 'germany' 'german'], predicted=german
question=['spain' 'spanish' 'greece' 'greek'], predicted=greek
question=['spain' 'spanish' 'iceland' 'icelandic'], predicted=icelandic
question=['spain' 'spanish' 'india' 'indian'], predicted=indian
question=['spain' 'spanish' 'ireland' 'irish'], predicted=irish
question=['spain' 'spanish' 'israel' 'israeli'], predicted=israeli
question=['spain' 'spanish' 'italy' 'italian'], predicted=italian
question=['spain' 'spanish' 'japan' 'japanese'], predicted=japanese
question=['spain' 'spanish' 'korea' 'korean'], predicted=korean
question=['spain' 'spanish' 'macedonia' 'macedonian'], predicted=macedonian
question=['spain' 'spanish' 'malta' 'maltese'], predicted=maltese
question=['spain' 'spanish' 'mexico' 'mexican'], predicted=mexican
question=['spain' 'spanish' 'netherlands' 'dutch'], predicted=dutch
question=['spain' 'spanish' 'norway' 'norwegian'], predicted=norwegian
question=['spain' 'spanish' 'peru' 'peruvian'], predicted=peruvian
question=['spain' 'spanish' 'poland' 'polish'], predicted=polish
question=['spain' 'spanish' 'portugal' 'portuguese'], predicted=portuguese
question=['spain' 'spanish' 'russia' 'russian'], predicted=russian
question=['sweden' 'swedish' 'switzerland' 'swiss'], predicted=swiss
question=['sweden' 'swedish' 'albania' 'albanian'], predicted=albanian
question=['sweden' 'swedish' 'australia' 'australian'], predicted=australian
question=['sweden' 'swedish' 'brazil' 'brazilian'], predicted=brazilian
question=['sweden' 'swedish' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['sweden' 'swedish' 'chile' 'chilean'], predicted=chilean
question=['sweden' 'swedish' 'china' 'chinese'], predicted=chinese
question=['sweden' 'swedish' 'colombia' 'colombian'], predicted=colombian
question=['sweden' 'swedish' 'croatia' 'croatian'], predicted=croatian
question=['sweden' 'swedish' 'denmark' 'danish'], predicted=danish
question=['sweden' 'swedish' 'egypt' 'egyptian'], predicted=egyptian
question=['sweden' 'swedish' 'england' 'english'], predicted=english
question=['sweden' 'swedish' 'france' 'french'], predicted=french
question=['sweden' 'swedish' 'germany' 'german'], predicted=german
question=['sweden' 'swedish' 'iceland' 'icelandic'], predicted=icelandic
question=['sweden' 'swedish' 'india' 'indian'], predicted=indian
question=['sweden' 'swedish' 'ireland' 'irish'], predicted=irish
question=['sweden' 'swedish' 'israel' 'israeli'], predicted=israeli
question=['sweden' 'swedish' 'italy' 'italian'], predicted=italian
question=['sweden' 'swedish' 'japan' 'japanese'], predicted=japanese
question=['sweden' 'swedish' 'korea' 'korean'], predicted=korean
question=['sweden' 'swedish' 'malta' 'maltese'], predicted=maltese
question=['sweden' 'swedish' 'mexico' 'mexican'], predicted=mexican
question=['sweden' 'swedish' 'netherlands' 'dutch'], predicted=dutch
question=['sweden' 'swedish' 'norway' 'norwegian'], predicted=norwegian
question=['sweden' 'swedish' 'peru' 'peruvian'], predicted=peruvian
question=['sweden' 'swedish' 'poland' 'polish'], predicted=polish
question=['sweden' 'swedish' 'portugal' 'portuguese'], predicted=portuguese
question=['sweden' 'swedish' 'russia' 'russian'], predicted=russian
question=['switzerland' 'swiss' 'thailand' 'thai'], predicted=thai
question=['switzerland' 'swiss' 'albania' 'albanian'], predicted=albanian
question=['switzerland' 'swiss' 'australia' 'australian'], predicted=australian
question=['switzerland' 'swiss' 'austria' 'austrian'], predicted=austrian
question=['switzerland' 'swiss' 'brazil' 'brazilian'], predicted=brazilian
question=['switzerland' 'swiss' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['switzerland' 'swiss' 'chile' 'chilean'], predicted=chilean
question=['switzerland' 'swiss' 'china' 'chinese'], predicted=chinese
question=['switzerland' 'swiss' 'colombia' 'colombian'], predicted=colombian
question=['switzerland' 'swiss' 'croatia' 'croatian'], predicted=croatian
question=['switzerland' 'swiss' 'denmark' 'danish'], predicted=danish
question=['switzerland' 'swiss' 'egypt' 'egyptian'], predicted=egyptian
question=['switzerland' 'swiss' 'france' 'french'], predicted=french
question=['switzerland' 'swiss' 'germany' 'german'], predicted=german
question=['switzerland' 'swiss' 'greece' 'greek'], predicted=greek
question=['switzerland' 'swiss' 'india' 'indian'], predicted=indian
question=['switzerland' 'swiss' 'ireland' 'irish'], predicted=irish
question=['switzerland' 'swiss' 'israel' 'israeli'], predicted=israeli
question=['switzerland' 'swiss' 'italy' 'italian'], predicted=italian
question=['switzerland' 'swiss' 'japan' 'japanese'], predicted=japanese
question=['switzerland' 'swiss' 'korea' 'korean'], predicted=korean
question=['switzerland' 'swiss' 'macedonia' 'macedonian'], predicted=macedonian
question=['switzerland' 'swiss' 'malta' 'maltese'], predicted=maltese
question=['switzerland' 'swiss' 'mexico' 'mexican'], predicted=mexican
question=['switzerland' 'swiss' 'netherlands' 'dutch'], predicted=dutch
question=['switzerland' 'swiss' 'norway' 'norwegian'], predicted=norwegian
question=['switzerland' 'swiss' 'peru' 'peruvian'], predicted=peruvian
question=['switzerland' 'swiss' 'poland' 'polish'], predicted=polish
question=['switzerland' 'swiss' 'portugal' 'portuguese'], predicted=portuguese
question=['switzerland' 'swiss' 'russia' 'russian'], predicted=russian
question=['switzerland' 'swiss' 'spain' 'spanish'], predicted=spanish
question=['thailand' 'thai' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['thailand' 'thai' 'albania' 'albanian'], predicted=albanian
question=['thailand' 'thai' 'australia' 'australian'], predicted=australian
question=['thailand' 'thai' 'austria' 'austrian'], predicted=austrian
question=['thailand' 'thai' 'brazil' 'brazilian'], predicted=brazilian
question=['thailand' 'thai' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['thailand' 'thai' 'china' 'chinese'], predicted=chinese
question=['thailand' 'thai' 'croatia' 'croatian'], predicted=croatian
question=['thailand' 'thai' 'denmark' 'danish'], predicted=danish
question=['thailand' 'thai' 'egypt' 'egyptian'], predicted=egyptian
question=['thailand' 'thai' 'france' 'french'], predicted=french
question=['thailand' 'thai' 'germany' 'german'], predicted=german
question=['thailand' 'thai' 'greece' 'greek'], predicted=greek
question=['thailand' 'thai' 'iceland' 'icelandic'], predicted=icelandic
question=['thailand' 'thai' 'india' 'indian'], predicted=indian
question=['thailand' 'thai' 'ireland' 'irish'], predicted=irish
question=['thailand' 'thai' 'israel' 'israeli'], predicted=israeli
question=['thailand' 'thai' 'italy' 'italian'], predicted=italian
question=['thailand' 'thai' 'japan' 'japanese'], predicted=japanese
question=['thailand' 'thai' 'korea' 'korean'], predicted=korean
question=['thailand' 'thai' 'mexico' 'mexican'], predicted=mexican
question=['thailand' 'thai' 'netherlands' 'dutch'], predicted=dutch
question=['thailand' 'thai' 'norway' 'norwegian'], predicted=norwegian
question=['thailand' 'thai' 'poland' 'polish'], predicted=polish
question=['thailand' 'thai' 'portugal' 'portuguese'], predicted=portuguese
question=['thailand' 'thai' 'russia' 'russian'], predicted=russian
question=['thailand' 'thai' 'spain' 'spanish'], predicted=spanish
question=['thailand' 'thai' 'sweden' 'swedish'], predicted=swedish
question=['ukraine' 'ukrainian' 'albania' 'albanian'], predicted=albanian
question=['ukraine' 'ukrainian' 'australia' 'australian'], predicted=australian
question=['ukraine' 'ukrainian' 'austria' 'austrian'], predicted=austrian
question=['ukraine' 'ukrainian' 'brazil' 'brazilian'], predicted=brazilian
question=['ukraine' 'ukrainian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['ukraine' 'ukrainian' 'cambodia' 'cambodian'], predicted=cambodian
question=['ukraine' 'ukrainian' 'chile' 'chilean'], predicted=chilean
question=['ukraine' 'ukrainian' 'china' 'chinese'], predicted=chinese
question=['ukraine' 'ukrainian' 'colombia' 'colombian'], predicted=colombian
question=['ukraine' 'ukrainian' 'croatia' 'croatian'], predicted=croatian
question=['ukraine' 'ukrainian' 'denmark' 'danish'], predicted=danish
question=['ukraine' 'ukrainian' 'egypt' 'egyptian'], predicted=egyptian
question=['ukraine' 'ukrainian' 'france' 'french'], predicted=french
question=['ukraine' 'ukrainian' 'germany' 'german'], predicted=german
question=['ukraine' 'ukrainian' 'greece' 'greek'], predicted=greek
question=['ukraine' 'ukrainian' 'iceland' 'icelandic'], predicted=icelandic
question=['ukraine' 'ukrainian' 'india' 'indian'], predicted=indian
question=['ukraine' 'ukrainian' 'ireland' 'irish'], predicted=irish
question=['ukraine' 'ukrainian' 'israel' 'israeli'], predicted=israeli
question=['ukraine' 'ukrainian' 'italy' 'italian'], predicted=italian
question=['ukraine' 'ukrainian' 'japan' 'japanese'], predicted=japanese
question=['ukraine' 'ukrainian' 'korea' 'korean'], predicted=korean
question=['ukraine' 'ukrainian' 'macedonia' 'macedonian'], predicted=macedonian
question=['ukraine' 'ukrainian' 'malta' 'maltese'], predicted=maltese
question=['ukraine' 'ukrainian' 'mexico' 'mexican'], predicted=mexican
question=['ukraine' 'ukrainian' 'netherlands' 'dutch'], predicted=dutch
question=['ukraine' 'ukrainian' 'norway' 'norwegian'], predicted=norwegian
question=['ukraine' 'ukrainian' 'peru' 'peruvian'], predicted=peruvian
question=['ukraine' 'ukrainian' 'poland' 'polish'], predicted=polish
question=['ukraine' 'ukrainian' 'portugal' 'portuguese'], predicted=portuguese
question=['ukraine' 'ukrainian' 'russia' 'russian'], predicted=russian
question=['ukraine' 'ukrainian' 'spain' 'spanish'], predicted=spanish
question=['ukraine' 'ukrainian' 'sweden' 'swedish'], predicted=swedish
question=['ukraine' 'ukrainian' 'switzerland' 'swiss'], predicted=swiss
